state#=1800      
E=9.598173400090213e-10
3.572644e-04+1.467711e-08j       3.572644e-04-1.467444e-08j       
-2.575226e-04-3.117155e-08j      -2.575226e-04+3.116962e-08j      
1.855748e-04+4.351531e-09j       1.855748e-04-4.350141e-09j       
-1.337394e-04-7.868214e-08j      -1.337394e-04+7.868114e-08j      
9.639704e-05-2.878815e-08j       9.639704e-05+2.878888e-08j       
-6.948375e-05-2.366968e-07j      -6.948375e-05+2.366963e-07j      
5.008312e-05-2.181266e-07j       5.008312e-05+2.181270e-07j       
-3.610120e-05-7.753964e-07j      -3.610120e-05+7.753961e-07j      
2.603223e-05-1.053191e-06j       2.603223e-05+1.053191e-06j       
-1.880148e-05-2.743396e-06j      -1.880148e-05+2.743396e-06j      
1.366823e-05-4.502466e-06j       1.366823e-05+4.502466e-06j       
-1.020127e-05-1.020127e-05j      -1.020127e-05+1.020127e-05j      
8.273651e-06-1.760505e-05j       8.273650e-06+1.760505e-05j       
-9.564975e-06-4.618533e-05j      -9.564975e-06+4.618533e-05j      
1.845370e-09-1.572274e-01j       6.676676e-10+1.572274e-01j       
1.553722e-09-2.142722e-02j       1.393223e-09+2.142722e-02j       
-4.255171e-09+2.371399e-02j      -4.077543e-09-2.371399e-02j      
2.651504e-09-2.740296e-03j       2.630978e-09+2.740296e-03j       
3.970287e-09-6.149452e-03j       3.924225e-09+6.149452e-03j       
-7.576872e-09+5.491097e-03j      -7.535742e-09-5.491097e-03j      
-1.260447e-11-2.966674e-03j      -3.482570e-11+2.966674e-03j      
1.108833e-08+1.523559e-03j       1.109975e-08-1.523559e-03j       
-7.099734e-09-1.007276e-03j      -7.107279e-09+1.007276e-03j      
-1.075148e-08+7.852468e-04j      -1.074559e-08-7.852468e-04j      
1.452779e-08-5.976875e-04j       1.452331e-08+5.976875e-04j       
5.265878e-09+4.300829e-04j       5.269100e-09-4.300829e-04j       
-1.545081e-08-3.041359e-04j      -1.545309e-08+3.041359e-04j      
-1.593315e-09+2.175899e-04j      -1.591685e-09-2.175899e-04j      
1.267728e-08-1.574470e-04j       1.267610e-08+1.574470e-04j       
-3.828890e-09+1.139778e-04j      -3.828036e-09-1.139778e-04j      
-1.050061e-09-8.217878e-05j      -1.050676e-09+8.217878e-05j      
2.391763e-09+5.914074e-05j       2.392205e-09-5.914074e-05j       
9.914363e-09-4.259324e-05j       9.914045e-09+4.259324e-05j       
1.284577e-09+3.070792e-05j       1.284808e-09-3.070792e-05j       
2.798956e-08-2.214234e-05j       2.798940e-08+2.214234e-05j       
2.469188e-08+1.596025e-05j       2.469200e-08-1.596025e-05j       
8.867704e-08-1.150151e-05j       8.867696e-08+1.150151e-05j       
1.193803e-07+8.287887e-06j       1.193804e-07-8.287887e-06j       
3.142637e-07-5.969608e-06j       3.142637e-07+5.969608e-06j       
5.104914e-07+4.289997e-06j       5.104914e-07-4.289997e-06j       
1.162579e-06-3.054758e-06j       1.162579e-06+3.054758e-06j       
2.097587e-06+2.097586e-06j       2.097587e-06-2.097586e-06j       
4.218504e-06-1.244008e-06j       4.218504e-06+1.244008e-06j       
1.011562e-05+9.226428e-09j       1.011562e-05-9.226352e-09j       
-2.860510e-02-5.619795e-10j      -2.860510e-02+3.477148e-10j      
-1.862468e-02+3.054865e-09j      -1.862468e-02-3.194372e-09j      
2.740296e-03-2.630978e-09j       2.740296e-03+2.651504e-09j       
1.004392e-02-4.036986e-09j       1.004392e-02+4.112220e-09j       
-8.342020e-03+9.149292e-09j      -8.342020e-03-9.211777e-09j      
1.585245e-03-6.957492e-10j       1.585245e-03+7.076234e-10j       
2.641191e-03-1.528927e-08j       2.641191e-03+1.530906e-08j       
-3.444862e-03+1.227339e-08j      -3.444862e-03-1.229919e-08j      
2.698673e-03+1.548353e-08j       2.698673e-03-1.546331e-08j       
-1.831548e-03-2.548502e-08j      -1.831548e-03+2.547130e-08j      
1.255489e-03-1.088495e-08j       1.255489e-03+1.089435e-08j       
-9.035472e-04+3.735905e-08j      -9.035472e-04-3.736581e-08j      
6.619263e-04+1.640319e-09j       6.619263e-04-1.635361e-09j       
-4.806509e-04-3.509850e-08j      -4.806509e-04+3.509490e-08j      
3.455693e-04-5.154004e-09j       3.455693e-04+5.156592e-09j       
-2.481333e-04+2.613440e-08j      -2.481333e-04-2.613625e-08j      
1.787216e-04-8.226734e-10j       1.787216e-04+8.240123e-10j       
-1.289619e-04+1.487791e-08j      -1.289619e-04-1.487888e-08j      
9.302010e-05+2.351357e-08j       9.302010e-05-2.351287e-08j       
-6.703682e-05+7.280234e-08j      -6.703682e-05-7.280284e-08j      
4.830047e-05+9.282675e-08j       4.830047e-05-9.282638e-08j       
-3.480916e-05+2.529142e-07j      -3.480916e-05-2.529144e-07j      
2.509038e-05+4.091351e-07j       2.509038e-05-4.091350e-07j       
-1.808217e-05+9.311102e-07j      -1.808217e-05-9.311103e-07j      
1.302183e-05+1.666869e-06j       1.302183e-05-1.666869e-06j       
-9.351475e-06+3.530979e-06j      -9.351475e-06-3.530979e-06j      
6.641263e-06+6.641266e-06j       6.641263e-06-6.641266e-06j       
-4.502464e-06+1.366824e-05j      -4.502464e-06-1.366824e-05j      
2.511445e-06+2.512174e-05j       2.511445e-06-2.512174e-05j       
9.416999e-07+6.327334e-05j       9.417003e-07-6.327334e-05j       
2.951170e-09+1.192786e-01j       3.844618e-09-1.192786e-01j       
-5.359645e-09+3.780556e-02j      -5.076465e-09-3.780556e-02j      
3.138867e-09-5.982574e-03j       3.094055e-09+5.982574e-03j       
4.112220e-09-1.004392e-02j       4.036986e-09+1.004392e-02j       
-8.895759e-09+6.189778e-03j      -8.849395e-09-6.189778e-03j      
1.283901e-09+4.771538e-05j       1.284259e-09-4.771538e-05j       
1.326875e-08-2.085333e-03j       1.325313e-08+2.085333e-03j       
-1.245044e-08+1.543777e-03j      -1.243887e-08-1.543777e-03j      
-1.067191e-08-7.296184e-04j      -1.067737e-08+7.296184e-04j      
2.426404e-08+3.530846e-04j       2.426669e-08-3.530846e-04j       
4.336605e-11-2.512713e-04j       4.148392e-11+2.512713e-04j       
-2.879330e-08+2.080130e-04j      -2.879174e-08-2.080130e-04j      
1.088545e-08-1.588431e-04j       1.088426e-08+1.588431e-04j       
2.454746e-08+1.123690e-04j       2.454831e-08-1.123690e-04j       
-1.487025e-08-7.867054e-05j      -1.487084e-08+7.867054e-05j      
-1.192544e-08+5.639306e-05j      -1.192501e-08-5.639306e-05j      
8.465151e-09-4.100307e-05j       8.464844e-09+4.100307e-05j       
-8.651481e-10+2.972429e-05j      -8.649254e-10-2.972429e-05j      
-1.405096e-08-2.140464e-05j      -1.405112e-08+2.140464e-05j      
-8.755108e-09+1.538683e-05j      -8.754993e-09-1.538683e-05j      
-2.796811e-08-1.108167e-05j      -2.796819e-08+1.108167e-05j      
-4.875356e-08+7.993046e-06j      -4.875350e-08-7.993046e-06j      
-1.075291e-07-5.764679e-06j      -1.075291e-07+5.764679e-06j      
-1.922913e-07+4.155169e-06j      -1.922913e-07-4.155169e-06j      
-4.093976e-07-2.995496e-06j      -4.093976e-07+2.995496e-06j      
-7.674884e-07+2.163122e-06j      -7.674883e-07-2.163122e-06j      
-1.570707e-06-1.570706e-06j      -1.570707e-06+1.570706e-06j      
-3.054759e-06+1.162579e-06j      -3.054759e-06-1.162579e-06j      
-5.822815e-06-9.081868e-07j      -5.822815e-06+9.081867e-07j      
-1.436426e-05+9.650626e-07j      -1.436426e-05-9.650627e-07j      
1.912799e-02+1.412091e-09j       1.912799e-02-1.268814e-09j       
1.092600e-02-1.453904e-09j       1.092600e-02+1.535744e-09j       
6.149452e-03-3.924225e-09j       6.149452e-03+3.970287e-09j       
-6.189778e-03+8.849395e-09j      -6.189778e-03-8.895759e-09j      
-1.112075e-03-1.647126e-09j      -1.112075e-03+1.638796e-09j      
4.233696e-03-1.515180e-08j       4.233696e-03+1.518352e-08j       
-2.689097e-03+1.611429e-08j      -2.689097e-03-1.613443e-08j      
2.816902e-04+1.325244e-08j       2.816902e-04-1.325033e-08j       
9.145157e-04-3.528236e-08j       9.145157e-04+3.528921e-08j       
-1.010390e-03+6.766605e-10j      -1.010390e-03-6.842288e-10j      
7.253334e-04+5.138198e-08j       7.253334e-04-5.137655e-08j       
-4.725982e-04-2.284047e-08j      -4.725982e-04+2.283693e-08j      
3.250315e-04-5.626323e-08j       3.250315e-04+5.626567e-08j       
-2.379295e-04+3.543416e-08j      -2.379295e-04-3.543594e-08j      
1.754876e-04+5.355455e-08j       1.754876e-04-5.355324e-08j       
-1.270849e-04-2.591471e-08j      -1.270849e-04+2.591376e-08j      
9.102768e-05-2.946919e-08j       9.102768e-05+2.946987e-08j       
-6.531207e-05-8.239207e-09j      -6.531207e-05+8.238718e-09j      
4.709339e-05-3.354119e-08j       4.709339e-05+3.354154e-08j       
-3.400862e-05-9.303023e-08j      -3.400862e-05+9.302997e-08j      
2.452879e-05-1.494647e-07j       2.452879e-05+1.494649e-07j       
-1.767132e-05-3.209146e-07j      -1.767132e-05+3.209145e-07j      
1.273152e-05-6.067764e-07j       1.273152e-05+6.067765e-07j       
-9.178933e-06-1.240314e-06j      -9.178933e-06+1.240314e-06j      
6.625572e-06-2.386176e-06j       6.625572e-06+2.386176e-06j       
-4.800995e-06-4.800997e-06j      -4.800995e-06+4.800997e-06j      
3.530977e-06-9.351480e-06j       3.530977e-06+9.351480e-06j       
-2.743394e-06-1.880149e-05j      -2.743394e-06+1.880149e-05j      
2.481436e-06-3.508560e-05j       2.481436e-06+3.508560e-05j       
-3.700888e-06-8.751892e-05j      -3.700889e-06+8.751892e-05j      
-6.829143e-09-8.559401e-02j      -7.470279e-09+8.559401e-02j      
3.301051e-09-3.434709e-02j       3.043776e-09+3.434709e-02j       
4.380151e-09-7.981749e-03j       4.320364e-09+7.981749e-03j       
-9.211777e-09+8.342020e-03j      -9.149292e-09-8.342020e-03j      
1.638796e-09+1.112075e-03j       1.647126e-09-1.112075e-03j       
1.450411e-08-3.664985e-03j       1.447666e-08+3.664985e-03j       
-1.619785e-08+1.554706e-03j      -1.618620e-08-1.554706e-03j      
-9.717552e-09+3.058077e-04j      -9.715261e-09-3.058077e-04j      
3.274348e-08-6.964627e-04j       3.273826e-08+6.964627e-04j       
-8.970219e-09+4.196424e-04j      -8.967076e-09-4.196424e-04j      
-3.931476e-08-1.680649e-04j      -3.931602e-08+1.680649e-04j      
3.254931e-08+7.959176e-05j       3.254990e-08-7.959176e-05j       
3.140805e-08-6.521423e-05j       3.140756e-08+6.521423e-05j       
-4.540620e-08+5.694065e-05j      -4.540577e-08-5.694065e-05j      
-1.616192e-08-4.280899e-05j      -1.616224e-08+4.280899e-05j      
3.637260e-08+2.953268e-05j       3.637282e-08-2.953268e-05j       
3.021487e-09-2.052207e-05j       3.021333e-09+2.052207e-05j       
-1.334241e-08+1.481135e-05j      -1.334230e-08-1.481135e-05j      
1.713041e-08-1.083480e-05j       1.713033e-08+1.083480e-05j       
2.211832e-08+7.855173e-06j       2.211838e-08-7.855173e-06j       
3.217791e-08-5.643279e-06j       3.217787e-08+5.643279e-06j       
7.118178e-08+4.052119e-06j       7.118181e-08-4.052119e-06j       
1.456744e-07-2.919440e-06j       1.456744e-07+2.919440e-06j       
2.758223e-07+2.106342e-06j       2.758223e-07-2.106342e-06j       
5.579794e-07-1.517015e-06j       5.579794e-07+1.517015e-06j       
1.087132e-06+1.087132e-06j       1.087132e-06-1.087132e-06j       
2.163123e-06-7.674879e-07j       2.163123e-06+7.674880e-07j       
4.289999e-06+5.104912e-07j       4.289999e-06-5.104911e-07j       
8.073562e-06-2.585354e-07j       8.073562e-06+2.585354e-07j       
2.004124e-05-2.022576e-07j       2.004124e-05+2.022578e-07j       
-1.381306e-02+1.798846e-10j      -1.381306e-02-2.833503e-10j      
-5.912980e-03-3.760043e-09j      -5.912980e-03+3.715753e-09j      
-5.491097e-03+7.535742e-09j      -5.491097e-03-7.576873e-09j      
-4.771538e-05-1.284259e-09j      -4.771538e-05+1.283901e-09j      
3.664985e-03-1.447666e-08j       3.664985e-03+1.450411e-08j       
-1.670126e-03+1.751907e-08j      -1.670126e-03-1.753158e-08j      
-1.016170e-03+1.070078e-08j      -1.016170e-03-1.070840e-08j      
1.602273e-03-4.052484e-08j       1.602273e-03+4.053684e-08j       
-8.026591e-04+1.277409e-08j      -8.026591e-04-1.278010e-08j      
-2.917360e-06+5.743203e-08j      -2.917360e-06-5.743205e-08j      
3.122801e-04-5.378571e-08j       3.122801e-04+5.378805e-08j       
-2.901879e-04-5.636375e-08j      -2.901879e-04+5.636158e-08j      
1.898381e-04+9.370921e-08j       1.898381e-04-9.370779e-08j       
-1.198630e-04+4.404735e-08j      -1.198630e-04-4.404824e-08j      
8.402295e-05-1.087330e-07j       8.402295e-05+1.087336e-07j       
-6.285950e-05-3.951395e-08j      -6.285950e-05+3.951347e-08j      
4.651636e-05+6.903170e-08j       4.651636e-05-6.903135e-08j       
-3.348306e-05+3.616772e-08j      -3.348306e-05-3.616797e-08j      
2.388194e-05+2.914567e-08j       2.388194e-05-2.914549e-08j       
-1.714066e-05+1.206141e-07j      -1.714066e-05-1.206143e-07j      
1.238169e-05+2.247528e-07j       1.238169e-05-2.247527e-07j       
-8.947599e-06+4.318304e-07j      -8.947599e-06-4.318304e-07j      
6.450153e-06+8.536282e-07j       6.450153e-06-8.536282e-07j       
-4.642281e-06+1.704131e-06j      -4.642281e-06-1.704132e-06j      
3.337230e-06+3.337232e-06j       3.337230e-06-3.337232e-06j       
-2.386175e-06+6.625576e-06j      -2.386175e-06-6.625576e-06j      
1.666868e-06+1.302183e-05j       1.666868e-06-1.302183e-05j       
-1.053191e-06+2.603225e-05j      -1.053191e-06-2.603225e-05j      
3.824392e-07+4.875620e-05j       3.824396e-07-4.875620e-05j       
1.137963e-06+1.213340e-04j       1.137963e-06-1.213340e-04j       
3.811756e-09+6.103507e-02j       4.268935e-09-6.103507e-02j       
4.319288e-09+2.544808e-02j       4.509905e-09-2.544808e-02j       
-8.421284e-09+1.181753e-02j      -8.332766e-09-1.181753e-02j      
7.076233e-10-1.585245e-03j       6.957491e-10+1.585245e-03j       
1.518352e-08-4.233696e-03j       1.515180e-08+4.233696e-03j       
-1.753158e-08+1.670126e-03j      -1.751907e-08-1.670126e-03j      
-9.428362e-09+1.069837e-03j      -9.420348e-09-1.069837e-03j      
