state#=1799      
E=-9.598171097981516e-10
9.035476e-04+3.735903e-08j       9.035476e-04-3.736579e-08j       
-6.619266e-04+1.640318e-09j      -6.619266e-04-1.635360e-09j      
4.806512e-04-3.509848e-08j       4.806512e-04+3.509488e-08j       
-3.455695e-04-5.154001e-09j      -3.455695e-04+5.156590e-09j      
2.481334e-04+2.613438e-08j       2.481334e-04-2.613624e-08j       
-1.787217e-04-8.226731e-10j      -1.787217e-04+8.240119e-10j      
1.289620e-04+1.487790e-08j       1.289620e-04-1.487887e-08j       
-9.302015e-05+2.351356e-08j      -9.302015e-05-2.351286e-08j      
6.703685e-05+7.280230e-08j       6.703685e-05-7.280280e-08j       
-4.830049e-05+9.282670e-08j      -4.830049e-05-9.282634e-08j      
3.480918e-05+2.529141e-07j       3.480918e-05-2.529143e-07j       
-2.509040e-05+4.091349e-07j      -2.509040e-05-4.091348e-07j      
1.808218e-05+9.311097e-07j       1.808218e-05-9.311098e-07j       
-1.302183e-05+1.666868e-06j      -1.302183e-05-1.666868e-06j      
9.351480e-06+3.530977e-06j       9.351480e-06-3.530977e-06j       
-6.641266e-06+6.641263e-06j      -6.641266e-06-6.641263e-06j      
4.502466e-06+1.366823e-05j       4.502466e-06-1.366823e-05j       
-2.511446e-06+2.512172e-05j      -2.511447e-06-2.512172e-05j      
-9.417003e-07+6.327331e-05j      -9.417008e-07-6.327331e-05j      
2.951168e-09-1.192787e-01j       3.844616e-09+1.192787e-01j       
-5.359642e-09-3.780558e-02j      -5.076462e-09+3.780558e-02j      
3.138866e-09+5.982577e-03j       3.094054e-09-5.982577e-03j       
4.112218e-09+1.004393e-02j       4.036984e-09-1.004393e-02j       
-8.895754e-09-6.189781e-03j      -8.849390e-09+6.189781e-03j      
1.283901e-09-4.771540e-05j       1.284258e-09+4.771540e-05j       
1.326875e-08+2.085334e-03j       1.325313e-08-2.085334e-03j       
-1.245043e-08-1.543778e-03j      -1.243887e-08+1.543778e-03j      
-1.067190e-08+7.296188e-04j      -1.067737e-08-7.296188e-04j      
2.426403e-08-3.530848e-04j       2.426667e-08+3.530848e-04j       
4.336604e-11+2.512714e-04j       4.148397e-11-2.512714e-04j       
-2.879328e-08-2.080131e-04j      -2.879173e-08+2.080131e-04j      
1.088544e-08+1.588432e-04j       1.088425e-08-1.588432e-04j       
2.454745e-08-1.123690e-04j       2.454829e-08+1.123690e-04j       
